Date,Adj Close
1/08/2018,7624.910156
2/08/2018,7567.149902
3/08/2018,7434.390137
4/08/2018,7032.850098
5/08/2018,7068.47998
6/08/2018,6951.799805
7/08/2018,6753.120117
8/08/2018,6305.799805
9/08/2018,6568.22998
10/08/2018,6184.709961
11/08/2018,6295.72998
12/08/2018,6322.689941
13/08/2018,6297.569824
14/08/2018,6199.709961
15/08/2018,6308.52002
16/08/2018,6334.72998
17/08/2018,6580.629883
18/08/2018,6423.759766
19/08/2018,6506.069824
20/08/2018,6308.529785
21/08/2018,6488.759766
22/08/2018,6376.709961
23/08/2018,6534.879883
24/08/2018,6719.959961
25/08/2018,6763.189941
26/08/2018,6707.259766
27/08/2018,6884.640137
28/08/2018,7096.279785
29/08/2018,7047.160156
30/08/2018,6978.22998
31/08/2018,7037.580078
1/09/2018,7193.25
2/09/2018,7272.720215
3/09/2018,7260.060059
4/09/2018,7361.660156
5/09/2018,6792.830078
6/09/2018,6529.169922
7/09/2018,6467.069824
8/09/2018,6225.97998
9/09/2018,6300.859863
10/09/2018,6329.700195
11/09/2018,6321.200195
12/09/2018,6351.799805
13/09/2018,6517.310059
14/09/2018,6512.709961
15/09/2018,6543.200195
16/09/2018,6517.180176
17/09/2018,6281.200195
18/09/2018,6371.299805
19/09/2018,6398.540039
20/09/2018,6519.669922
21/09/2018,6734.950195
22/09/2018,6721.97998
23/09/2018,6710.629883
24/09/2018,6595.410156
25/09/2018,6446.470215
26/09/2018,6495
27/09/2018,6676.75
28/09/2018,6644.129883
29/09/2018,6601.959961
30/09/2018,6625.560059
1/10/2018,6589.620117
2/10/2018,6556.100098
3/10/2018,6502.589844
4/10/2018,6576.689941
5/10/2018,6622.47998
6/10/2018,6588.310059
7/10/2018,6602.950195
8/10/2018,6652.22998
9/10/2018,6642.640137
10/10/2018,6585.529785
11/10/2018,6256.240234
12/10/2018,6274.580078
13/10/2018,6285.990234
14/10/2018,6290.930176
15/10/2018,6596.540039
16/10/2018,6596.109863
17/10/2018,6544.430176
18/10/2018,6476.709961
19/10/2018,6465.410156
20/10/2018,6489.189941
21/10/2018,6482.350098
22/10/2018,6487.160156
23/10/2018,6475.740234
24/10/2018,6495.839844
25/10/2018,6476.290039
26/10/2018,6474.75
27/10/2018,6480.379883
28/10/2018,6486.390137
29/10/2018,6332.629883
30/10/2018,6334.27002
31/10/2018,6317.609863
1/11/2018,6377.779785
